Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000025
FILLER_9_11,VGND,li1,10.8100,38.0800,0.000026
FILLER_8_188,VGND,li1,92.4600,32.6400,0.000068
FILLER_8_161,VGND,li1,79.8100,32.6400,0.000067
FILLER_8_144,VGND,li1,71.9900,32.6400,0.000064
FILLER_8_141,VGND,li1,71.0700,32.6400,0.000064
FILLER_8_114,VGND,li1,58.1900,32.6400,0.000056
FILLER_8_85,VGND,li1,44.8500,32.6400,0.000043
FILLER_8_81,VGND,li1,43.4700,32.6400,0.000043
FILLER_8_71,VGND,li1,38.8700,32.6400,0.000036
FILLER_8_68,VGND,li1,37.4900,32.6400,0.000034
FILLER_8_44,VGND,li1,25.9900,32.6400,0.000019
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000021
FILLER_8_3,VGND,li1,7.3600,32.6400,0.000022
FILLER_7_181,VGND,li1,89.0100,32.6400,0.000068
FILLER_7_169,VGND,li1,83.9500,32.6400,0.000067
FILLER_7_166,VGND,li1,82.3400,32.6400,0.000067
FILLER_7_147,VGND,li1,73.3700,32.6400,0.000065
FILLER_7_144,VGND,li1,72.4500,32.6400,0.000064
FILLER_7_113,VGND,li1,57.9600,32.6400,0.000056
FILLER_7_93,VGND,li1,48.7600,32.6400,0.000048
FILLER_7_90,VGND,li1,47.6100,32.6400,0.000046
FILLER_7_87,VGND,li1,46.2300,32.6400,0.000046
FILLER_7_72,VGND,li1,39.1000,32.6400,0.000036
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000036
FILLER_7_46,VGND,li1,27.3700,32.6400,0.000022
FILLER_7_3,VGND,li1,7.1300,32.6400,0.000022
FILLER_6_189,VGND,li1,92.6900,27.2000,0.000081
FILLER_6_186,VGND,li1,91.7700,27.2000,0.000081
FILLER_6_151,VGND,li1,75.2100,27.2000,0.000075
FILLER_6_141,VGND,li1,71.0700,27.2000,0.000072
FILLER_6_92,VGND,li1,48.0700,27.2000,0.000052
FILLER_6_69,VGND,li1,37.9500,27.2000,0.000040
FILLER_6_32,VGND,li1,20.4700,27.2000,0.000024
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000025
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000025
FILLER_5_70,VGND,li1,38.1800,27.2000,0.000040
FILLER_5_50,VGND,li1,28.7500,27.2000,0.000026
FILLER_5_3,VGND,li1,7.3600,27.2000,0.000028
FILLER_4_168,VGND,li1,83.0300,21.7600,0.000074
FILLER_4_144,VGND,li1,71.9900,21.7600,0.000068
FILLER_4_141,VGND,li1,71.0700,21.7600,0.000067
FILLER_4_124,VGND,li1,63.0200,21.7600,0.000061
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000045
FILLER_4_73,VGND,li1,39.7900,21.7600,0.000040
FILLER_4_65,VGND,li1,35.6500,21.7600,0.000036
FILLER_4_36,VGND,li1,22.3100,21.7600,0.000020
FILLER_4_18,VGND,li1,14.4900,21.7600,0.000022
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000023
FILLER_3_188,VGND,li1,92.4600,21.7600,0.000075
FILLER_3_126,VGND,li1,63.7100,21.7600,0.000063
FILLER_3_118,VGND,li1,60.0300,21.7600,0.000060
FILLER_3_102,VGND,li1,53.1300,21.7600,0.000054
FILLER_3_93,VGND,li1,48.7600,21.7600,0.000049
FILLER_3_82,VGND,li1,43.7000,21.7600,0.000045
FILLER_3_65,VGND,li1,36.1100,21.7600,0.000036
FILLER_3_33,VGND,li1,21.3900,21.7600,0.000021
FILLER_2_157,VGND,li1,78.2000,16.3200,0.000091
FILLER_2_125,VGND,li1,63.4800,16.3200,0.000082
FILLER_2_92,VGND,li1,48.3000,16.3200,0.000065
FILLER_2_80,VGND,li1,42.5500,16.3200,0.000057
FILLER_2_51,VGND,li1,29.2100,16.3200,0.000032
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000028
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000028
FILLER_1_188,VGND,li1,92.4600,16.3200,0.000093
FILLER_1_174,VGND,li1,85.7900,16.3200,0.000092
FILLER_1_130,VGND,li1,65.5500,16.3200,0.000083
FILLER_1_113,VGND,li1,57.7300,16.3200,0.000076
FILLER_1_102,VGND,li1,52.9000,16.3200,0.000071
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000038
FILLER_1_32,VGND,li1,20.9300,16.3200,0.000027
FILLER_0_167,VGND,li1,82.5700,10.8800,0.000050
FILLER_0_149,VGND,li1,74.2900,10.8800,0.000048
FILLER_0_139,VGND,li1,69.6900,10.8800,0.000046
FILLER_0_120,VGND,li1,61.4100,10.8800,0.000042
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000019
fanout130,VGND,li1,73.1400,54.4000,0.000071
fanout129,VGND,li1,80.0400,48.9600,0.000061
load_slew128,VGND,li1,58.4200,43.5200,0.000060
fanout127,VGND,li1,55.2000,48.9600,0.000047
fanout126,VGND,li1,51.9800,48.9600,0.000045
fanout125,VGND,li1,90.6200,48.9600,0.000062
fanout124,VGND,li1,77.7400,32.6400,0.000066
fanout123,VGND,li1,48.7600,59.8400,0.000034
fanout122,VGND,li1,52.9000,32.6400,0.000052
fanout121,VGND,li1,79.1200,38.0800,0.000066
fanout120,VGND,li1,21.6200,48.9600,0.000018
fanout119,VGND,li1,63.9400,43.5200,0.000064
